WBAN,State,Name,Latitude,Longitude,relLatitude,relLongitude,cluster
93797,VA,SOUTH HILL,36.688,-78.05,0.7550000000000026,1.0139999999999958,8
93798,VA,CULPEPER,38.527,-77.851,2.594000000000001,1.2129999999999939,7
3809,TN,DYERSBURG,36.019,-89.318,0.08599999999999852,-10.254000000000005,4
3811,TN,JACKSON,35.593,-88.917,-0.3399999999999963,-9.853000000000009,4
3841,TN,OAK RIDGE,36.0,-84.25,0.06700000000000017,-5.186000000000007,9
3847,TN,CROSSVILLE,35.951,-85.085,0.018000000000000682,-6.021000000000001,9
3894,TN,CLARKSVILLE,36.622,-87.415,0.6890000000000001,-8.351000000000013,4
13827,TN,SMYRNA,36.009,-86.52,0.07600000000000051,-7.456000000000003,4
13877,TN,BRISTOL/JHNSN CTY/KNGSPRT,36.48,-82.399,0.546999999999997,-3.335000000000008,2
13882,TN,CHATTANOOGA,35.033,-85.2,-0.8999999999999986,-6.13600000000001,9
13891,TN,KNOXVILLE,35.818000000000005,-83.986,-0.11499999999999488,-4.922000000000011,9
13893,TN,MEMPHIS,35.061,-89.985,-0.8719999999999999,-10.921000000000006,4
13897,TN,NASHVILLE,36.119,-86.689,0.18599999999999994,-7.625,4
53868,TN,OAK RIDGE,36.023,-84.23299999999999,0.09000000000000341,-5.168999999999997,9
63820,TN,UNION CITY,36.38,-88.98299999999999,0.44700000000000273,-9.918999999999997,4
63855,TN,CROSSVILLE 7 NW,36.014,-85.134,0.08100000000000307,-6.070000000000007,9
93839,TN,MILLINGTON,35.357,-89.87,-0.5760000000000005,-10.806000000000012,4
3813,GA,MACON,32.688,-83.654,-3.2449999999999974,-4.590000000000003,3
3820,GA,AUGUSTA,33.37,-81.965,-2.5630000000000024,-2.9010000000000105,1
3821,GA,LAGRANGE,33.014,-85.06700000000001,-2.918999999999997,-6.003000000000014,3
3822,GA,SAVANNAH,32.119,-81.202,-3.814,-2.1380000000000052,6
3832,GA,WINDER,33.982,-83.667,-1.9510000000000005,-4.603000000000009,1
3875,GA,FORT STEWART (HINESVILLE),31.889,-81.562,-4.0440000000000005,-2.4980000000000047,6
3888,GA,ATLANTA,33.779,-84.521,-2.1539999999999964,-5.457000000000008,9
13824,GA,SAVANNAH,32.01,-81.146,-3.923000000000002,-2.082000000000008,6
13829,GA,FORT BENNING (COLUMBUS),32.338,-84.992,-3.594999999999999,-5.9280000000000115,3
13837,GA,AUGUSTA,33.467,-82.039,-2.466000000000001,-2.9750000000000085,1
13857,GA,VALDOSTA,30.968000000000004,-83.193,-4.964999999999996,-4.129000000000005,3
13860,GA,WARNER ROBINS,32.64,-83.59200000000001,-3.2929999999999993,-4.52800000000002,3
13861,GA,WAYCROSS,31.249000000000002,-82.395,-4.6839999999999975,-3.331000000000003,6
13864,GA,MARIETTA,33.915,-84.516,-2.0180000000000007,-5.452000000000012,9
13869,GA,ALBANY,31.535999999999998,-84.194,-4.397000000000002,-5.13000000000001,3
13870,GA,ALMA,31.535999999999998,-82.507,-4.397000000000002,-3.443000000000012,6
13873,GA,ATHENS,33.948,-83.32700000000001,-1.9849999999999994,-4.263000000000019,1
13874,GA,ATLANTA,33.64,-84.427,-2.2929999999999993,-5.363000000000014,9
13878,GA,BRUNSWICK,31.252,-81.391,-4.681000000000001,-2.3270000000000124,6
53817,GA,MOULTRIE,31.085,-83.803,-4.847999999999999,-4.739000000000004,3
53819,GA,ATLANTA,33.355,-84.56700000000001,-2.578000000000003,-5.503000000000014,9
53838,GA,GAINESVILLE,34.272,-83.83,-1.6610000000000014,-4.766000000000005,9
53846,GA,KINGS BAY,30.8,-81.5,-5.132999999999999,-2.436000000000007,6
53863,GA,ATLANTA,33.875,-84.302,-2.058,-5.238000000000014,9
